Entidade,Ano,Lixo plástico mal gerenciado por pessoa (kg por ano),Participação na emissão global de plásticos para o oceano,Qualidade do Ar,Poluicao_da_agua
Palau,2019.0,6.444444444,0.000714681,100.0,0.0
Slovenia,2019.0,0.405964406,0.00112307,75.0,12.5
Finland,2019.0,0.473788865,0.0,100.0,13.020833334999999
Norway,2019.0,0.277746793,0.0,90.5,14.846249555
Sweden,2019.0,0.423973695,0.003675502,85.0,15.0390625
Latvia,2019.0,0.500786576,0.000918876,91.62087912,16.6666666665
Singapore,2019.0,0.425223983,0.016743954,65.87837838,24.204947
Eritrea,2019.0,24.0457535,0.00490067,100.0,25.0
United Kingdom,2019.0,0.442973493,0.07177439,75.0,25.0
Seychelles,2019.0,0.336734694,0.0,62.5,25.0
Estonia,2019.0,0.452488688,0.001225167,100.0,25.0
Croatia,2019.0,4.247941889,0.022869791,85.625,25.0
Australia,2019.0,0.20894338,0.003267113,84.375,28.2234957
Somalia,2019.0,0.002719679,0.000204195,80.0,28.75
Uruguay,2019.0,26.75332178,0.101893088,90.625,29.166666665
Greece,2019.0,0.430249212,0.022053013,86.02941176499999,32.291666665
Saint Lucia,2019.0,23.36612022,0.04584168,70.83333333,33.33333333
Indonesia,2019.0,3.045657286,5.751446208,68.75,33.33333333
Kenya,2019.0,5.514455815,0.026443196,75.0,33.33333333
Canada,2019.0,0.630483013,0.024299153,87.5,34.375
Ireland,2019.0,0.547931176,0.011741187,85.41666666500001,34.70394737
Equatorial Guinea,2019.0,6.934365782,0.041349399,25.0,35.0
Qatar,2019.0,0.540960452,0.0,26.07942431,35.58467742
New Zealand,2019.0,0.358352498,0.006942615,85.71428571,36.36363636
France,2019.0,0.426531552,0.023992861,75.0,36.607142855
Mauritania,2019.0,4.594785683,0.012966355,43.75,37.5
Iceland,2019.0,0.445427729,0.0,87.5,37.5
Japan,2019.0,0.281286458,0.187348513,75.0,37.5
Germany,2019.0,0.606774669,0.013681036,87.5,38.75
United Arab Emirates,2019.0,0.525534746,0.001429362,48.87387387,38.88888889
Samoa,2019.0,8.822335025,0.0,70.83333333,40.0
Cyprus,2019.0,0.698081735,0.000306292,62.05357143,40.74074074
Spain,2019.0,0.435415196,0.023992861,80.61868687,41.66666667
Portugal,2019.0,0.373362018,0.007759393,87.5,41.66666667
Montenegro,2019.0,0.025477707,0.0,65.0,41.66666667
Israel,2019.0,0.711351098,0.00336921,28.472222225000003,42.02898551
United States,2019.0,0.812815117,0.248198493,87.5,42.902930405000006
Saudi Arabia,2019.0,0.209402084,0.000306292,34.468308015000005,43.12015504
Sudan,2019.0,18.25672109,0.010822312,71.42857143,43.75
Bosnia and Herzegovina,2019.0,16.82853681,0.000612584,45.58823529,44.01041667
Panama,2019.0,8.558407913,0.534683468,65.0,46.875
Romania,2019.0,2.693570875,0.008167783,65.86309524,47.368421055
Morocco,2019.0,8.101776705,0.183775108,66.45833333,47.916666665
Costa Rica,2019.0,1.139263074,0.045943777,66.216216215,48.046875
Slovakia,2019.0,0.315008246,0.0,62.5,50.0
Italy,2019.0,0.640842279,0.042268275,59.6875,50.0
Poland,2019.0,0.372782939,0.002960821,49.709302324999996,50.0
Myanmar,2019.0,8.038338422,0.259735486,0.0,50.0
Mexico,2019.0,3.375352731,0.358565656,68.54166666500001,50.0
Lithuania,2019.0,0.375724638,0.000714681,73.27586207,50.0
Brazil,2019.0,15.62046908,3.859175176,62.5,50.0
South Korea,2019.0,0.237306003,0.039511648,25.0,50.0
Bulgaria,2019.0,0.445285714,0.000714681,37.5,50.0
Algeria,2019.0,17.75899473,0.589509708,50.0,50.0
Belgium,2019.0,0.19793743,0.003471308,75.0,50.0
Georgia,2019.0,0.076807606,0.000306292,47.916666665,50.0
Chile,2019.0,1.623417054,0.032875325,35.416666665,50.0
Colombia,2019.0,1.697570472,0.044003929,58.30882353,50.0
Iran,2019.0,5.981679813,0.094746278,25.0,50.0
Thailand,2019.0,19.55720564,2.328430622,38.392857145,50.0
Turkey,2019.0,19.85029366,1.462951959,25.0,50.0
Barbados,2019.0,3.038327526,0.004594378,90.0,50.0
Tanzania,2019.0,29.59055254,0.590632779,61.25,52.5
Monaco,2019.0,0.128205128,0.0,25.75757576,52.55681818
Bahrain,2019.0,0.635588056,0.0,32.69230769,53.125
Bangladesh,2019.0,6.268108387,2.515677038,25.0,53.33333333
Senegal,2019.0,4.029209622,0.017254441,30.172413795,53.5
Djibouti,2019.0,10.56365503,0.000408389,54.16666667,54.16666667
Argentina,2019.0,10.40191152,0.422376457,75.0,54.207589285
Namibia,2019.0,8.373547094,0.000204195,50.0,54.34782609
Suriname,2019.0,39.47160069,0.171217143,61.36363636,54.54545455
Russia,2019.0,2.491149775,0.055336727,40.625,54.9408284
Syria,2019.0,0.029408319,0.00449228,25.0,55.0
Ukraine,2019.0,8.950697822,0.087701566,54.16666667,56.25
Oman,2019.0,0.251457286,0.000102097,75.0,56.25
Kuwait,2019.0,0.627525553,0.000714681,35.13513514,56.89655172
South Africa,2019.0,12.09855186,0.435547007,50.0,57.74647887
Grenada,2019.0,12.11607143,0.013272647,55.0,58.33333333
Malaysia,2019.0,25.491518,7.463107147,50.0,58.33333333
Jamaica,2019.0,16.84972863,0.238295057,68.75,58.57142857
Taiwan,2019.0,0.315554808,0.054213657,28.125,59.375
Jordan,2019.0,12.31686795,0.000102097,35.76923077,59.677419355
Cambodia,2019.0,15.01152423,0.113634275,61.25,60.416666665
Tunisia,2019.0,24.7574177,0.07024293,18.75,61.11111111
Trinidad and Tobago,2019.0,52.42939068,0.363160033,46.875,62.395833335
Albania,2019.0,24.23915307,0.159782247,58.333333335,62.5
Guyana,2019.0,35.20434227,0.127213214,51.31578947,62.5
Sri Lanka,2019.0,7.290658413,0.985647164,50.0,62.73148148
India,2019.0,9.509608,12.91663349,43.7123494,63.1865722
Papua New Guinea,2019.0,13.62101185,0.312315587,56.25,63.46153846
Malta,2019.0,0.588636364,0.0,31.94444444,64.28571429
Vietnam,2019.0,11.53604528,2.881287406,50.96153846,66.346153845
Dominican Republic,2019.0,18.06667287,0.640762544,33.33333333,66.66666667
Pakistan,2019.0,6.21734837,0.089130928,50.0,66.66666667
Ghana,2019.0,17.09520679,0.427277127,55.0,66.66666667
Libya,2019.0,27.81983178,0.089743511,54.62962963,68.51851852
Liberia,2019.0,8.087907636,0.269332631,8.333333335,68.75
Haiti,2019.0,21.12829619,0.70743207,12.5,68.75
Guatemala,2019.0,17.68972186,0.729178791,32.14285714,69.53125
Ecuador,2019.0,6.262058248,0.115982513,62.5,70.0
Egypt,2019.0,14.29961748,0.252282385,45.518867924999995,70.64814815
Philippines,2019.0,37.23096275,36.38451062,39.28571429,70.94594595
Mauritius,2019.0,0.235433071,0.0,62.5,71.726190475
Iraq,2019.0,12.51007377,0.006840518,25.0,72.91666667
Zimbabwe,2019.0,35.83919426,0.0,44.23076923,73.214285715
Brunei,2019.0,1.598152425,0.013681036,47.727272725,74.43181818
Togo,2019.0,15.06842366,0.044514415,37.5,75.0
Kazakhstan,2019.0,2.92393941,0.001327265,11.83035714,75.0
Peru,2019.0,4.315995078,0.026443196,37.5,75.0
Belize,2019.0,15.43846154,0.038184384,81.25,75.0
Nigeria,2019.0,9.698005613,1.903093343,10.0,75.0
Honduras,2019.0,14.97999179,0.24870898,28.57142857,75.0
El Salvador,2019.0,3.361171367,0.082494604,18.42105263,76.5625
Nicaragua,2019.0,16.93583868,0.149572519,58.33333333,76.66666667
Cameroon,2019.0,22.36814036,1.0894801,15.0,79.16666667
Fiji,2019.0,4.334831461,0.037265508,53.571428569999995,79.375
Cote d'Ivoire,2019.0,11.33934751,0.488433399,6.944444444,79.41176471
Lesotho,2019.0,14.30164706,0.0,45.83333333,80.0
Angola,2019.0,7.445278869,0.087803663,15.0,81.25
Madagascar,2019.0,0.936260151,0.079125394,15.90909091,82.35294118
Yemen,2019.0,10.00401207,0.025728515,29.166666669999998,83.33333333499999
Mozambique,2019.0,14.30652704,0.259735486,43.75,84.375
Solomon Islands,2019.0,5.253731343,0.010209728,39.0625,84.72222222
Gabon,2019.0,2.757017948,0.045433291,37.5,87.5
Lebanon,2019.0,6.800175029,0.069834541,22.371031745,90.901898735
Marshall Islands,2019.0,0.271186441,0.0,43.75,91.66666667
Maldives,2019.0,0.11299435,0.0,42.78846154,93.75
Guinea,2019.0,11.58852087,0.239622322,5.0,93.75
Venezuela,2019.0,23.54576378,0.611358527,25.0,95.714285715
Benin,2019.0,11.29861876,0.167337446,25.0,100.0
Sierra Leone,2019.0,11.67784462,0.370000551,25.0,100.0
